"row_number","Host","Parasitoid","Temp","Rep","Individuals","HPD","Vial"
58,"BIP","A",20,2,8,"H",4
59,"BIP","A",20,2,9,"H",4
60,"BIP","A",20,2,10,"H",4
61,"BIP","A",20,2,11,"H",4
62,"BIP","A",20,2,12,"H",4
63,"BIP","A",20,2,13,"H",4
64,"BIP","A",20,2,14,"H",4
65,"BIP","A",20,2,15,"H",4
66,"BIP","A",20,2,16,"H",4
67,"BIP","A",20,2,17,"H",4
68,"BIP","A",20,2,18,"H",4
69,"BIP","A",20,2,19,"H",4
70,"BIP","A",20,2,20,"H",4
71,"BIP","A",20,2,21,"H",4
72,"BIP","A",20,2,22,"H",4
73,"BIP","A",20,2,23,"H",4
74,"BIP","A",20,2,24,"H",4
75,"BIP","A",20,2,25,"H",4
76,"BIP","A",20,2,26,"H",4
77,"BIP","A",20,2,27,"H",4
78,"BIP","A",20,2,28,"H",4
79,"BIP","A",20,2,29,"H",4
80,"BIP","A",20,2,30,"H",4
81,"BIP","A",20,2,31,"D",4
82,"BIP","A",20,2,32,"D",4
83,"BIP","A",20,2,33,"D",4
84,"BIP","A",20,2,34,"D",4
85,"BIP","A",20,2,35,"D",4
86,"BIP","A",20,2,36,"D",4
87,"BIP","A",20,2,37,"D",4
88,"BIP","A",20,2,38,"D",4
89,"BIP","A",20,2,39,"D",4
90,"BIP","A",20,2,40,"D",4
91,"BIP","A",20,2,41,"D",4
92,"BIP","A",20,2,42,"D",4
93,"BIP","A",20,2,43,"D",4
94,"BIP","A",20,2,44,"D",4
95,"BIP","A",20,2,45,"D",4
96,"BIP","A",20,2,46,"D",4
97,"BIP","A",20,2,47,"D",4
98,"BIP","A",20,2,48,"D",4
99,"BIP","A",20,2,49,"D",4
100,"BIP","A",20,2,50,"D",4
101,"BIP","A",20,3,1,"H",7
102,"BIP","A",20,3,2,"H",7
103,"BIP","A",20,3,3,"H",7
104,"BIP","A",20,3,4,"H",7
105,"BIP","A",20,3,5,"H",7
106,"BIP","A",20,3,6,"H",7
107,"BIP","A",20,3,7,"H",7
108,"BIP","A",20,3,8,"H",7
109,"BIP","A",20,3,9,"H",7
110,"BIP","A",20,3,10,"H",7
111,"BIP","A",20,3,11,"H",7
112,"BIP","A",20,3,12,"H",7
113,"BIP","A",20,3,13,"H",7
114,"BIP","A",20,3,14,"H",7
115,"BIP","A",20,3,15,"H",7
116,"BIP","A",20,3,16,"H",7
117,"BIP","A",20,3,17,"H",7
118,"BIP","A",20,3,18,"H",7
119,"BIP","A",20,3,19,"H",7
120,"BIP","A",20,3,20,"H",7
121,"BIP","A",20,3,21,"H",7
122,"BIP","A",20,3,22,"H",7
123,"BIP","A",20,3,23,"H",7
124,"BIP","A",20,3,24,"D",7
125,"BIP","A",20,3,25,"D",7
126,"BIP","A",20,3,26,"D",7
127,"BIP","A",20,3,27,"D",7
128,"BIP","A",20,3,28,"D",7
129,"BIP","A",20,3,29,"D",7
130,"BIP","A",20,3,30,"D",7
131,"BIP","A",20,3,31,"D",7
132,"BIP","A",20,3,32,"D",7
133,"BIP","A",20,3,33,"D",7
134,"BIP","A",20,3,34,"D",7
135,"BIP","A",20,3,35,"D",7
136,"BIP","A",20,3,36,"D",7
137,"BIP","A",20,3,37,"D",7
138,"BIP","A",20,3,38,"D",7
139,"BIP","A",20,3,39,"D",7
140,"BIP","A",20,3,40,"D",7
141,"BIP","A",20,3,41,"D",7
142,"BIP","A",20,3,42,"D",7
143,"BIP","A",20,3,43,"D",7
144,"BIP","A",20,3,44,"D",7
145,"BIP","A",20,3,45,"D",7
146,"BIP","A",20,3,46,"D",7
147,"BIP","A",20,3,47,"D",7
148,"BIP","A",20,3,48,"D",7
149,"BIP","A",20,3,49,"D",7
150,"BIP","A",20,3,50,"D",7
151,"BIP","A",20,9,1,"H",17
152,"BIP","A",20,9,2,"H",17
153,"BIP","A",20,9,3,"H",17
154,"BIP","A",20,9,4,"H",17
155,"BIP","A",20,9,5,"H",17
156,"BIP","A",20,9,6,"H",17
157,"BIP","A",20,9,7,"H",17
158,"BIP","A",20,9,8,"H",17
159,"BIP","A",20,9,9,"H",17
160,"BIP","A",20,9,10,"H",17
161,"BIP","A",20,9,11,"H",17
162,"BIP","A",20,9,12,"H",17
163,"BIP","A",20,9,13,"H",17
164,"BIP","A",20,9,14,"H",17
165,"BIP","A",20,9,15,"H",17
166,"BIP","A",20,9,16,"H",17
167,"BIP","A",20,9,17,"H",17
168,"BIP","A",20,9,18,"H",17
169,"BIP","A",20,9,19,"H",17
170,"BIP","A",20,9,20,"H",17
171,"BIP","A",20,9,21,"H",17
172,"BIP","A",20,9,22,"H",17
173,"BIP","A",20,9,23,"H",17
174,"BIP","A",20,9,24,"H",17
175,"BIP","A",20,9,25,"H",17
176,"BIP","A",20,9,26,"H",17
177,"BIP","A",20,9,27,"H",17
178,"BIP","A",20,9,28,"H",17
179,"BIP","A",20,9,29,"H",17
180,"BIP","A",20,9,30,"H",17
181,"BIP","A",20,9,31,"H",17
182,"BIP","A",20,9,32,"H",17
183,"BIP","A",20,9,33,"H",17
184,"BIP","A",20,9,34,"H",17
185,"BIP","A",20,9,35,"H",17
186,"BIP","A",20,9,36,"H",17
187,"BIP","A",20,9,37,"H",17
188,"BIP","A",20,9,38,"H",17
189,"BIP","A",20,9,39,"H",17
190,"BIP","A",20,9,40,"D",17
191,"BIP","A",20,9,41,"D",17
192,"BIP","A",20,9,42,"D",17
193,"BIP","A",20,9,43,"D",17
194,"BIP","A",20,9,44,"D",17
195,"BIP","A",20,9,45,"D",17
196,"BIP","A",20,9,46,"D",17
197,"BIP","A",20,9,47,"D",17
198,"BIP","A",20,9,48,"D",17
199,"BIP","A",20,9,49,"D",17
200,"BIP","A",20,9,50,"D",17
201,"BIP","A",20,10,1,"H",10
202,"BIP","A",20,10,2,"H",10
203,"BIP","A",20,10,3,"H",10
204,"BIP","A",20,10,4,"H",10
205,"BIP","A",20,10,5,"H",10
206,"BIP","A",20,10,6,"H",10
207,"BIP","A",20,10,7,"H",10
208,"BIP","A",20,10,8,"H",10
209,"BIP","A",20,10,9,"H",10
210,"BIP","A",20,10,10,"H",10
211,"BIP","A",20,10,11,"H",10
212,"BIP","A",20,10,12,"H",10
213,"BIP","A",20,10,13,"H",10
214,"BIP","A",20,10,14,"H",10
215,"BIP","A",20,10,15,"H",10
216,"BIP","A",20,10,16,"H",10
217,"BIP","A",20,10,17,"H",10
218,"BIP","A",20,10,18,"H",10
219,"BIP","A",20,10,19,"H",10
220,"BIP","A",20,10,20,"H",10
221,"BIP","A",20,10,21,"H",10
222,"BIP","A",20,10,22,"H",10
223,"BIP","A",20,10,23,"H",10
224,"BIP","A",20,10,24,"H",10
225,"BIP","A",20,10,25,"H",10
226,"BIP","A",20,10,26,"H",10
227,"BIP","A",20,10,27,"H",10
228,"BIP","A",20,10,28,"H",10
229,"BIP","A",20,10,29,"H",10
230,"BIP","A",20,10,30,"H",10
231,"BIP","A",20,10,31,"H",10
232,"BIP","A",20,10,32,"H",10
233,"BIP","A",20,10,33,"H",10
234,"BIP","A",20,10,34,"H",10
235,"BIP","A",20,10,35,"H",10
236,"BIP","A",20,10,36,"H",10
237,"BIP","A",20,10,37,"H",10
238,"BIP","A",20,10,38,"H",10
239,"BIP","A",20,10,39,"H",10
240,"BIP","A",20,10,40,"H",10
241,"BIP","A",20,10,41,"D",10
242,"BIP","A",20,10,42,"D",10
243,"BIP","A",20,10,43,"D",10
244,"BIP","A",20,10,44,"D",10
245,"BIP","A",20,10,45,"D",10
246,"BIP","A",20,10,46,"D",10
247,"BIP","A",20,10,47,"D",10
248,"BIP","A",20,10,48,"D",10
249,"BIP","A",20,10,49,"D",10
250,"BIP","A",20,10,50,"D",10
251,"BIP","A",20,11,1,"H",13
252,"BIP","A",20,11,2,"H",13
253,"BIP","A",20,11,3,"H",13
254,"BIP","A",20,11,4,"H",13
255,"BIP","A",20,11,5,"H",13
256,"BIP","A",20,11,6,"H",13
257,"BIP","A",20,11,7,"H",13
258,"BIP","A",20,11,8,"H",13
259,"BIP","A",20,11,9,"H",13
260,"BIP","A",20,11,10,"H",13
261,"BIP","A",20,11,11,"H",13
262,"BIP","A",20,11,12,"H",13
263,"BIP","A",20,11,13,"H",13
264,"BIP","A",20,11,14,"H",13
265,"BIP","A",20,11,15,"H",13
266,"BIP","A",20,11,16,"H",13
267,"BIP","A",20,11,17,"H",13
268,"BIP","A",20,11,18,"H",13
269,"BIP","A",20,11,19,"H",13
270,"BIP","A",20,11,20,"H",13
271,"BIP","A",20,11,21,"H",13
272,"BIP","A",20,11,22,"H",13
273,"BIP","A",20,11,23,"H",13
274,"BIP","A",20,11,24,"H",13
275,"BIP","A",20,11,25,"H",13
276,"BIP","A",20,11,26,"H",13
277,"BIP","A",20,11,27,"H",13
278,"BIP","A",20,11,28,"H",13
279,"BIP","A",20,11,29,"H",13
280,"BIP","A",20,11,30,"H",13
281,"BIP","A",20,11,31,"H",13
282,"BIP","A",20,11,32,"H",13
283,"BIP","A",20,11,33,"H",13
284,"BIP","A",20,11,34,"H",13
285,"BIP","A",20,11,35,"H",13
286,"BIP","A",20,11,36,"H",13
287,"BIP","A",20,11,37,"D",13
288,"BIP","A",20,11,38,"D",13
289,"BIP","A",20,11,39,"D",13
290,"BIP","A",20,11,40,"D",13
291,"BIP","A",20,11,41,"D",13
292,"BIP","A",20,11,42,"D",13
293,"BIP","A",20,11,43,"D",13
294,"BIP","A",20,11,44,"D",13
295,"BIP","A",20,11,45,"D",13
296,"BIP","A",20,11,46,"D",13
297,"BIP","A",20,11,47,"D",13
298,"BIP","A",20,11,48,"D",13
299,"BIP","A",20,11,49,"D",13
300,"BIP","A",20,11,50,"D",13
301,"BIP","A",20,12,1,"H",16
302,"BIP","A",20,12,2,"H",16
303,"BIP","A",20,12,3,"H",16
304,"BIP","A",20,12,4,"H",16
305,"BIP","A",20,12,5,"H",16
306,"BIP","A",20,12,6,"H",16
307,"BIP","A",20,12,7,"H",16
308,"BIP","A",20,12,8,"H",16
309,"BIP","A",20,12,9,"H",16
310,"BIP","A",20,12,10,"H",16
311,"BIP","A",20,12,11,"H",16
312,"BIP","A",20,12,12,"H",16
313,"BIP","A",20,12,13,"H",16
314,"BIP","A",20,12,14,"H",16
315,"BIP","A",20,12,15,"H",16
316,"BIP","A",20,12,16,"H",16
317,"BIP","A",20,12,17,"H",16
318,"BIP","A",20,12,18,"H",16
319,"BIP","A",20,12,19,"H",16
320,"BIP","A",20,12,20,"H",16
321,"BIP","A",20,12,21,"H",16
322,"BIP","A",20,12,22,"H",16
323,"BIP","A",20,12,23,"H",16
324,"BIP","A",20,12,24,"H",16
325,"BIP","A",20,12,25,"H",16
326,"BIP","A",20,12,26,"H",16
327,"BIP","A",20,12,27,"H",16
328,"BIP","A",20,12,28,"H",16
329,"BIP","A",20,12,29,"H",16
330,"BIP","A",20,12,30,"H",16
331,"BIP","A",20,12,31,"H",16
332,"BIP","A",20,12,32,"H",16
333,"BIP","A",20,12,33,"H",16
334,"BIP","A",20,12,34,"H",16
335,"BIP","A",20,12,35,"H",16
336,"BIP","A",20,12,36,"H",16
337,"BIP","A",20,12,37,"H",16
338,"BIP","A",20,12,38,"H",16
339,"BIP","A",20,12,39,"H",16
340,"BIP","A",20,12,40,"D",16
341,"BIP","A",20,12,41,"D",16
342,"BIP","A",20,12,42,"D",16
343,"BIP","A",20,12,43,"D",16
344,"BIP","A",20,12,44,"D",16
345,"BIP","A",20,12,45,"D",16
346,"BIP","A",20,12,46,"D",16
347,"BIP","A",20,12,47,"D",16
348,"BIP","A",20,12,48,"D",16
349,"BIP","A",20,12,49,"D",16
350,"BIP","A",20,12,50,"D",16
351,"BIP","A",20,13,1,"H",22
352,"BIP","A",20,13,2,"H",22
353,"BIP","A",20,13,3,"D",22
354,"BIP","A",20,13,4,"D",22
355,"BIP","A",20,13,5,"D",22
356,"BIP","A",20,13,6,"D",22
357,"BIP","A",20,13,7,"D",22
358,"BIP","A",20,13,8,"D",22
359,"BIP","A",20,13,9,"D",22
360,"BIP","A",20,13,10,"D",22
361,"BIP","A",20,13,11,"D",22
362,"BIP","A",20,13,12,"D",22
363,"BIP","A",20,13,13,"D",22
364,"BIP","A",20,13,14,"D",22
365,"BIP","A",20,13,15,"D",22
366,"BIP","A",20,13,16,"D",22
367,"BIP","A",20,13,17,"D",22
368,"BIP","A",20,13,18,"D",22
369,"BIP","A",20,13,19,"D",22
370,"BIP","A",20,13,20,"D",22
371,"BIP","A",20,13,21,"D",22
372,"BIP","A",20,13,22,"D",22
373,"BIP","A",20,13,23,"D",22
374,"BIP","A",20,13,24,"D",22
375,"BIP","A",20,13,25,"D",22
376,"BIP","A",20,13,26,"D",22
377,"BIP","A",20,13,27,"D",22
378,"BIP","A",20,13,28,"D",22
379,"BIP","A",20,13,29,"D",22
380,"BIP","A",20,13,30,"D",22
381,"BIP","A",20,13,31,"D",22
382,"BIP","A",20,13,32,"D",22
383,"BIP","A",20,13,33,"D",22
384,"BIP","A",20,13,34,"D",22
385,"BIP","A",20,13,35,"D",22
386,"BIP","A",20,13,36,"D",22
387,"BIP","A",20,13,37,"D",22
388,"BIP","A",20,13,38,"D",22
389,"BIP","A",20,13,39,"D",22
390,"BIP","A",20,13,40,"D",22
391,"BIP","A",20,13,41,"D",22
392,"BIP","A",20,13,42,"D",22
393,"BIP","A",20,13,43,"D",22
394,"BIP","A",20,13,44,"D",22
395,"BIP","A",20,13,45,"D",22
396,"BIP","A",20,13,46,"D",22
397,"BIP","A",20,13,47,"D",22
398,"BIP","A",20,13,48,"D",22
399,"BIP","A",20,13,49,"D",22
400,"BIP","A",20,13,50,"D",22
401,"BIP","A",20,14,1,"H",25
402,"BIP","A",20,14,2,"H",25
403,"BIP","A",20,14,3,"H",25
404,"BIP","A",20,14,4,"H",25
405,"BIP","A",20,14,5,"H",25
406,"BIP","A",20,14,6,"H",25
407,"BIP","A",20,14,7,"H",25
408,"BIP","A",20,14,8,"H",25
409,"BIP","A",20,14,9,"H",25
410,"BIP","A",20,14,10,"H",25
411,"BIP","A",20,14,11,"H",25
412,"BIP","A",20,14,12,"H",25
413,"BIP","A",20,14,13,"H",25
414,"BIP","A",20,14,14,"H",25
415,"BIP","A",20,14,15,"H",25
416,"BIP","A",20,14,16,"H",25
417,"BIP","A",20,14,17,"H",25
418,"BIP","A",20,14,18,"H",25
419,"BIP","A",20,14,19,"H",25
420,"BIP","A",20,14,20,"H",25
421,"BIP","A",20,14,21,"H",25
422,"BIP","A",20,14,22,"H",25
423,"BIP","A",20,14,23,"H",25
424,"BIP","A",20,14,24,"H",25
425,"BIP","A",20,14,25,"H",25
426,"BIP","A",20,14,26,"H",25
427,"BIP","A",20,14,27,"H",25
428,"BIP","A",20,14,28,"D",25
429,"BIP","A",20,14,29,"D",25
430,"BIP","A",20,14,30,"D",25
431,"BIP","A",20,14,31,"D",25
432,"BIP","A",20,14,32,"D",25
433,"BIP","A",20,14,33,"D",25
434,"BIP","A",20,14,34,"D",25
435,"BIP","A",20,14,35,"D",25
436,"BIP","A",20,14,36,"D",25
437,"BIP","A",20,14,37,"D",25
438,"BIP","A",20,14,38,"D",25
439,"BIP","A",20,14,39,"D",25
440,"BIP","A",20,14,40,"D",25
441,"BIP","A",20,14,41,"D",25
442,"BIP","A",20,14,42,"D",25
443,"BIP","A",20,14,43,"D",25
444,"BIP","A",20,14,44,"D",25
445,"BIP","A",20,14,45,"D",25
446,"BIP","A",20,14,46,"D",25
447,"BIP","A",20,14,47,"D",25
448,"BIP","A",20,14,48,"D",25
449,"BIP","A",20,14,49,"D",25
450,"BIP","A",20,14,50,"D",25
451,"BIP","A",24,1,1,"H",2
452,"BIP","A",24,1,2,"H",2
453,"BIP","A",24,1,3,"H",2
454,"BIP","A",24,1,4,"H",2
455,"BIP","A",24,1,5,"H",2
456,"BIP","A",24,1,6,"H",2
457,"BIP","A",24,1,7,"H",2
458,"BIP","A",24,1,8,"H",2
459,"BIP","A",24,1,9,"H",2
460,"BIP","A",24,1,10,"H",2
461,"BIP","A",24,1,11,"H",2
462,"BIP","A",24,1,12,"H",2
463,"BIP","A",24,1,13,"H",2
464,"BIP","A",24,1,14,"H",2
465,"BIP","A",24,1,15,"H",2
466,"BIP","A",24,1,16,"H",2
467,"BIP","A",24,1,17,"H",2
468,"BIP","A",24,1,18,"H",2
469,"BIP","A",24,1,19,"H",2
470,"BIP","A",24,1,20,"H",2
471,"BIP","A",24,1,21,"H",2
472,"BIP","A",24,1,22,"H",2
473,"BIP","A",24,1,23,"H",2
474,"BIP","A",24,1,24,"H",2
475,"BIP","A",24,1,25,"H",2
476,"BIP","A",24,1,26,"H",2
477,"BIP","A",24,1,27,"H",2
478,"BIP","A",24,1,28,"H",2
479,"BIP","A",24,1,29,"H",2
480,"BIP","A",24,1,30,"H",2
481,"BIP","A",24,1,31,"H",2
482,"BIP","A",24,1,32,"H",2
483,"BIP","A",24,1,33,"H",2
484,"BIP","A",24,1,34,"H",2
485,"BIP","A",24,1,35,"H",2
486,"BIP","A",24,1,36,"H",2
487,"BIP","A",24,1,37,"H",2
488,"BIP","A",24,1,38,"H",2
489,"BIP","A",24,1,39,"H",2
490,"BIP","A",24,1,40,"H",2
491,"BIP","A",24,1,41,"H",2
492,"BIP","A",24,1,42,"H",2
493,"BIP","A",24,1,43,"H",2
494,"BIP","A",24,1,44,"H",2
495,"BIP","A",24,1,45,"H",2
496,"BIP","A",24,1,46,"H",2
497,"BIP","A",24,1,47,"H",2
498,"BIP","A",24,1,48,"H",2
499,"BIP","A",24,1,49,"H",2
500,"BIP","A",24,1,50,"H",2
501,"BIP","A",24,2,1,"H",5
502,"BIP","A",24,2,2,"H",5
503,"BIP","A",24,2,3,"H",5
504,"BIP","A",24,2,4,"H",5
505,"BIP","A",24,2,5,"H",5
506,"BIP","A",24,2,6,"H",5
507,"BIP","A",24,2,7,"H",5
508,"BIP","A",24,2,8,"H",5
509,"BIP","A",24,2,9,"H",5
510,"BIP","A",24,2,10,"H",5
511,"BIP","A",24,2,11,"H",5
512,"BIP","A",24,2,12,"H",5
513,"BIP","A",24,2,13,"H",5
514,"BIP","A",24,2,14,"H",5
515,"BIP","A",24,2,15,"H",5
516,"BIP","A",24,2,16,"H",5
517,"BIP","A",24,2,17,"H",5
518,"BIP","A",24,2,18,"H",5
519,"BIP","A",24,2,19,"H",5
520,"BIP","A",24,2,20,"H",5
521,"BIP","A",24,2,21,"H",5
522,"BIP","A",24,2,22,"D",5
523,"BIP","A",24,2,23,"D",5
524,"BIP","A",24,2,24,"D",5
525,"BIP","A",24,2,25,"D",5
526,"BIP","A",24,2,26,"D",5
527,"BIP","A",24,2,27,"D",5
528,"BIP","A",24,2,28,"D",5
529,"BIP","A",24,2,29,"D",5
530,"BIP","A",24,2,30,"D",5
531,"BIP","A",24,2,31,"D",5
532,"BIP","A",24,2,32,"D",5
533,"BIP","A",24,2,33,"D",5
534,"BIP","A",24,2,34,"D",5
535,"BIP","A",24,2,35,"D",5
536,"BIP","A",24,2,36,"D",5
537,"BIP","A",24,2,37,"D",5
538,"BIP","A",24,2,38,"D",5
539,"BIP","A",24,2,39,"D",5
540,"BIP","A",24,2,40,"D",5
541,"BIP","A",24,2,41,"D",5
542,"BIP","A",24,2,42,"D",5
543,"BIP","A",24,2,43,"D",5
544,"BIP","A",24,2,44,"D",5
545,"BIP","A",24,2,45,"D",5
546,"BIP","A",24,2,46,"D",5
547,"BIP","A",24,2,47,"D",5
548,"BIP","A",24,2,48,"D",5
549,"BIP","A",24,2,49,"D",5
550,"BIP","A",24,2,50,"D",5
551,"BIP","A",24,3,1,"H",8
552,"BIP","A",24,3,2,"H",8
553,"BIP","A",24,3,3,"H",8
554,"BIP","A",24,3,4,"H",8
555,"BIP","A",24,3,5,"H",8
556,"BIP","A",24,3,6,"H",8
557,"BIP","A",24,3,7,"H",8
558,"BIP","A",24,3,8,"D",8
559,"BIP","A",24,3,9,"D",8
560,"BIP","A",24,3,10,"D",8
561,"BIP","A",24,3,11,"D",8
562,"BIP","A",24,3,12,"D",8
563,"BIP","A",24,3,13,"D",8
564,"BIP","A",24,3,14,"D",8
565,"BIP","A",24,3,15,"D",8
566,"BIP","A",24,3,16,"D",8
567,"BIP","A",24,3,17,"D",8
568,"BIP","A",24,3,18,"D",8
569,"BIP","A",24,3,19,"D",8
570,"BIP","A",24,3,20,"D",8
571,"BIP","A",24,3,21,"D",8
572,"BIP","A",24,3,22,"D",8
573,"BIP","A",24,3,23,"D",8
574,"BIP","A",24,3,24,"D",8
575,"BIP","A",24,3,25,"D",8
576,"BIP","A",24,3,26,"D",8
577,"BIP","A",24,3,27,"D",8
578,"BIP","A",24,3,28,"D",8
579,"BIP","A",24,3,29,"D",8
580,"BIP","A",24,3,30,"D",8
581,"BIP","A",24,3,31,"D",8
582,"BIP","A",24,3,32,"D",8
583,"BIP","A",24,3,33,"D",8
584,"BIP","A",24,3,34,"D",8
585,"BIP","A",24,3,35,"D",8
586,"BIP","A",24,3,36,"D",8
587,"BIP","A",24,3,37,"D",8
588,"BIP","A",24,3,38,"D",8
589,"BIP","A",24,3,39,"D",8
590,"BIP","A",24,3,40,"D",8
591,"BIP","A",24,3,41,"D",8
592,"BIP","A",24,3,42,"D",8
593,"BIP","A",24,3,43,"D",8
594,"BIP","A",24,3,44,"D",8
595,"BIP","A",24,3,45,"D",8
596,"BIP","A",24,3,46,"D",8
597,"BIP","A",24,3,47,"D",8
598,"BIP","A",24,3,48,"D",8
599,"BIP","A",24,3,49,"D",8
600,"BIP","A",24,3,50,"D",8
601,"BIP","A",24,9,1,"H",18
602,"BIP","A",24,9,2,"H",18
603,"BIP","A",24,9,3,"H",18
604,"BIP","A",24,9,4,"H",18
605,"BIP","A",24,9,5,"H",18
606,"BIP","A",24,9,6,"H",18
607,"BIP","A",24,9,7,"H",18
608,"BIP","A",24,9,8,"H",18
609,"BIP","A",24,9,9,"H",18
610,"BIP","A",24,9,10,"H",18
611,"BIP","A",24,9,11,"H",18
612,"BIP","A",24,9,12,"H",18
613,"BIP","A",24,9,13,"H",18
614,"BIP","A",24,9,14,"H",18
615,"BIP","A",24,9,15,"H",18
616,"BIP","A",24,9,16,"H",18
617,"BIP","A",24,9,17,"H",18
618,"BIP","A",24,9,18,"H",18
619,"BIP","A",24,9,19,"H",18
620,"BIP","A",24,9,20,"H",18
621,"BIP","A",24,9,21,"H",18
622,"BIP","A",24,9,22,"H",18
623,"BIP","A",24,9,23,"H",18
624,"BIP","A",24,9,24,"H",18
625,"BIP","A",24,9,25,"H",18
626,"BIP","A",24,9,26,"H",18
627,"BIP","A",24,9,27,"H",18
628,"BIP","A",24,9,28,"H",18
629,"BIP","A",24,9,29,"H",18
630,"BIP","A",24,9,30,"H",18
631,"BIP","A",24,9,31,"H",18
632,"BIP","A",24,9,32,"H",18
633,"BIP","A",24,9,33,"H",18
634,"BIP","A",24,9,34,"H",18
635,"BIP","A",24,9,35,"H",18
636,"BIP","A",24,9,36,"H",18
637,"BIP","A",24,9,37,"H",18
638,"BIP","A",24,9,38,"H",18
639,"BIP","A",24,9,39,"H",18
640,"BIP","A",24,9,40,"H",18
641,"BIP","A",24,9,41,"H",18
642,"BIP","A",24,9,42,"H",18
643,"BIP","A",24,9,43,"H",18
644,"BIP","A",24,9,44,"H",18
645,"BIP","A",24,9,45,"H",18
646,"BIP","A",24,9,46,"H",18
647,"BIP","A",24,9,47,"H",18
648,"BIP","A",24,9,48,"H",18
649,"BIP","A",24,9,49,"H",18
650,"BIP","A",24,9,50,"H",18
651,"BIP","A",24,10,1,"H",11
652,"BIP","A",24,10,2,"H",11
653,"BIP","A",24,10,3,"H",11
654,"BIP","A",24,10,4,"H",11
655,"BIP","A",24,10,5,"H",11
656,"BIP","A",24,10,6,"H",11
657,"BIP","A",24,10,7,"H",11
658,"BIP","A",24,10,8,"H",11
659,"BIP","A",24,10,9,"H",11
660,"BIP","A",24,10,10,"H",11
661,"BIP","A",24,10,11,"H",11
662,"BIP","A",24,10,12,"H",11
663,"BIP","A",24,10,13,"H",11
664,"BIP","A",24,10,14,"H",11
665,"BIP","A",24,10,15,"H",11
666,"BIP","A",24,10,16,"H",11
667,"BIP","A",24,10,17,"H",11
668,"BIP","A",24,10,18,"H",11
669,"BIP","A",24,10,19,"H",11
670,"BIP","A",24,10,20,"H",11
671,"BIP","A",24,10,21,"H",11
672,"BIP","A",24,10,22,"H",11
673,"BIP","A",24,10,23,"H",11
674,"BIP","A",24,10,24,"H",11
675,"BIP","A",24,10,25,"H",11
676,"BIP","A",24,10,26,"H",11
677,"BIP","A",24,10,27,"H",11
678,"BIP","A",24,10,28,"H",11
679,"BIP","A",24,10,29,"H",11
680,"BIP","A",24,10,30,"H",11
681,"BIP","A",24,10,31,"H",11
682,"BIP","A",24,10,32,"H",11
683,"BIP","A",24,10,33,"H",11
684,"BIP","A",24,10,34,"H",11
685,"BIP","A",24,10,35,"H",11
686,"BIP","A",24,10,36,"H",11
687,"BIP","A",24,10,37,"H",11
688,"BIP","A",24,10,38,"H",11
689,"BIP","A",24,10,39,"H",11
690,"BIP","A",24,10,40,"H",11
691,"BIP","A",24,10,41,"H",11
692,"BIP","A",24,10,42,"H",11
693,"BIP","A",24,10,43,"H",11
694,"BIP","A",24,10,44,"H",11
695,"BIP","A",24,10,45,"H",11
696,"BIP","A",24,10,46,"D",11
